model,epoch,loss,acc,val_loss,val_acc
model1,1,0.5607610896587372,0.8264833333333333,0.2723989397895579,0.9201020408649834
model1,2,0.2545197972456614,0.9253499999682109,0.22187144403554956,0.9360204083092358
model1,3,0.21463131884733835,0.9380499999682108,0.20290280012451872,0.9421428573374846
model1,4,0.19413858514626822,0.9430166666666666,0.19495899661463134,0.9448979592809872
model1,5,0.17941139792601268,0.9478333333651224,0.1823477083931164,0.9473469389701377
model1,6,0.16853315187295279,0.9504333333651225,0.1905584448211047,0.9443877551993545
model1,7,0.1603358762184779,0.9521500000317892,0.1713334810612153,0.9515306123422117
model1,8,0.15374530680179596,0.9545000000317891,0.1889920437335968,0.9458163266279259
model1,9,0.14789539680083594,0.95605,0.16820656141456292,0.951632652866597
model1,10,0.14217460838953655,0.9582166666348775,0.16500464160831607,0.9509183675415662
model2,1,0.5959047156810761,0.8169166666666666,0.30848743166242326,0.9072448980564973
model2,2,0.27889409952958427,0.9185833333015442,0.2580037137926841,0.9250000001946274
model2,3,0.2333337021032969,0.9320999999682108,0.23050159760883876,0.9325510202135359
model2,4,0.2079746776819229,0.9397333333015442,0.20853298204285758,0.9369387753642335
model2,5,0.19026662695407867,0.9446166666666667,0.193157048006447,0.9424489794458661
model2,6,0.1776624984939893,0.9481666666348775,0.19119992200817382,0.9422448978132131
model2,7,0.16731224443912507,0.9512166666348775,0.1906869656334118,0.941428571574542
model2,8,0.15870490836699805,0.9530333333333333,0.17514259408323132,0.9467346937315805
model2,9,0.15227888741493226,0.9547500000317891,0.16626873071704593,0.947448979494523
model2,10,0.14658537197113036,0.9570500000317892,0.17230698221496174,0.9506122447519886
model2,11,0.1413437408129374,0.9577500000317891,0.16019114610491966,0.9514285712826008
model2,12,0.1373721593459447,0.9589833333651224,0.17207697167688488,0.9499999998540294
model2,13,0.13443941040436427,0.9601166666666666,0.16973253286006498,0.9485714284741149
model2,14,0.13052671223481496,0.9608333333651224,0.15503856065930152,0.9529591835761557
model2,15,0.12729321282704673,0.96235,0.16012260658096295,0.9525510202621927
model2,16,0.1237120239496231,0.9631500000317892,0.1614757195784121,0.9523469386295397
model2,17,0.12103080752293269,0.9638000000317891,0.15998576864296077,0.9520408162292169
model2,18,0.11853993409077326,0.9645166666348776,0.1540489945454257,0.9540816325070907
model2,19,0.11720300067663193,0.9645833333333333,0.17007871932217053,0.948979591739421
model2,20,0.11494233645995458,0.9658333333651224,0.1568205818214587,0.9542857141884006
model3,1,0.5742879101514816,0.8231500000317892,0.2814673323777257,0.9179591837221263
model3,2,0.25187700311342875,0.9282500000317891,0.23284345214464228,0.9315306120502705
model3,3,0.21090553266207376,0.9398166666666666,0.21762859522079936,0.9371428572888277
model3,4,0.18914885634581247,0.9455833333015442,0.2053481325446343,0.939693877356393
model3,5,0.17518560285568238,0.9487666666666666,0.1864013986441554,0.9462244899905458
model3,6,0.16480370332797367,0.9519833333651225,0.17618891180778037,0.9493877549560703
model3,7,0.15592185198664665,0.9547500000317891,0.16454732716691736,0.9514285713312577
model3,8,0.14896532855828604,0.9563333333651225,0.17011897573057486,0.9494897957237399
model3,9,0.14334233401616414,0.9582999999682108,0.15927919746661673,0.9519387754128904
model3,10,0.13833911072413127,0.9598666666348775,0.15861418812250605,0.9524489794458662
model3,11,0.13371606738964717,0.9609999999682108,0.1517682009935379,0.9565306121475843
model3,12,0.12877217855850856,0.9615833333651225,0.15755641198888118,0.9545918365887233
model3,13,0.12543575748999913,0.9626333333015442,0.1549763472043738,0.9560204080659516
model3,14,0.1208351136247317,0.9635333333015442,0.15395582102999394,0.9554081632166492
model3,15,0.11786953454017639,0.9649,0.149933331991945,0.9572448978132131
model3,16,0.11501006645361582,0.9658166666348775,0.16810299900721531,0.9525510202621927
model3,17,0.1126312773625056,0.9667833333015442,0.15257991764010215,0.9591836733234173
model3,18,0.11017318842411042,0.9674999999682109,0.15655325958315208,0.9566326529639108
model3,19,0.10813610202471415,0.9681666666666666,0.1523324141879471,0.9556122447519886
model3,20,0.10641767149368922,0.9685166666348776,0.14672545746881135,0.9590816325070907
model3,21,0.10395666293700537,0.9689833333651224,0.1407448075255569,0.9606122448006454
model3,22,0.10203531379699707,0.9694833333651225,0.151223207684804,0.9570408162292169
model3,23,0.10029216160376866,0.9700166666348775,0.1447533138917417,0.9598979590863598
model3,24,0.0994920951684316,0.9706500000317891,0.1450002505250123,0.9603061223516659
